Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
g10m,2.621080,u10m,1.610962,u10m,1.713793,g10m,0.3684496845988067,g10m,1.3799173298683614,RF,7.907890580060423,2.1068262839879153,0.6189189222426814
gust10_inst,0.758536,g10m,1.326207,g10m,1.464800,gust10_inst,0.0936375620578096,u100m,0.7858208649941716,MLP,8.761401981955487,2.178696937746512,0.5777882260577266
u100m,0.610581,v100m,1.236876,u100m,1.286914,u100m,0.06102822531161312,f10m,0.3932858549307006,,,,
f10m,0.329865,f10m,1.226887,f10m,1.278466,f10m,0.0449003175405625,gust10_inst,0.3566222528138223,,,,
v100m,0.303966,u100m,1.048852,v10m,1.062196,v100m,0.03383768008717315,rh,0.2979991748785978,,,,
rh,0.203116,tmax,0.767261,v100m,1.006951,ssrd0,0.03328064240387146,ssrd0,0.2864477742723791,,,,
ssrd0,0.188938,v10m,0.738588,tdwpt,0.682000,rh,0.030743024575490302,u10m,0.25681059093737857,,,,
f100m,0.171372,f100m,0.673367,tmax,0.665399,f100m,0.026201629994597037,f100m,0.22226926342916997,,,,
tmax,0.129534,tdwpt,0.554445,f100m,0.554366,u10m,0.024864594540483252,cra,0.19873901514726988,,,,
vvvv,0.117346,gust10_inst,0.476955,gust10_inst,0.524693,rrr06,0.023753795147849054,v100m,0.18045226574075282,,,,
d10m,0.116566,rrr06,0.471364,rrr06,0.388457,d10m,0.023603396608718977,d10m,0.16104860574357063,,,,
tcldc,0.116038,pmsl,0.407897,ssrd0,0.377141,vvvv,0.021575979013061446,d100m,0.14432856852127005,,,,
d100m,0.115346,ssrd0,0.283191,d100m,0.324252,pmsl,0.02140722842425516,v10m,0.1442075481530824,,,,
u10m,0.110303,lcldc,0.237786,lcldc,0.305401,cra,0.020798420363114755,tdwpt,0.1388667552257464,,,,
tdwpt,0.100495,rh,0.204335,d10m,0.285506,d100m,0.019861843891943766,tcldc,0.12255215982211848,,,,
v10m,0.094537,d100m,0.156462,pmsl,0.255016,v10m,0.019711416448069365,rrr06,0.12202520567937625,,,,
pmsl,0.092395,vvvv,0.138859,rh,0.181230,tcldc,0.017885457241277755,tmax,0.116101752023369,,,,
rrr06,0.061551,d10m,0.086866,vvvv,0.160800,lcldc,0.016212593011687863,vvvv,0.11190373836469547,,,,
lcldc,0.055881,tcldc,0.074039,tcldc,0.131692,tmax,0.014288819912670312,pmsl,0.1069619369606663,,,,
cra,0.037994,cra,0.023540,cra,0.103256,tdwpt,0.014225870409890116,lcldc,0.05932182117604096,,,,
